Stock,Earnings Date,Sector,Industry
CASY,09/08/2025,Consumer Cyclical,Specialty Retail
ORCL,09/09/2025,Technology,Software Infastructure
SNPS,09/09/2025,Technology,Software Infastructure
ADBE,09/11/2025,Technology,Software Infastructure
RH,09/11/2025,Consumer Cyclical,Specialty Retail
DRI,09/17/2025,Consumer Cyclical,Restaurants
FDX,09/18/2025,Industrials,Integrated Freight and Logistics
LEN,09/18/2025,Consumer Cyclical,Residential Construction
AZO,09/22/2025,Consumer Cyclical,Specialty Retail
MU,09/23/2025,Technology,Semiconductors
KBH,09/23/2025,Consumer Cyclical,Residential Construction
CTAS,09/23/2025,Industrials,Specialty Business Services
ACN,09/24/2025,Technology,Information Technology
KMX,09/24/2025,Consumer Cyclical,Auto and Truck Dealerships
JBL,09/24/2025,Technology,Electronic Components
NKE,09/30/2025,Consumer Cyclical,Footwear and Accesories
DPZ,10/09/2025,Consumer Cyclical,Restaurants
PEP,10/09/2025,Consumer Defensive,Beverages
DAL,10/09/2025,Industrials,Airlines
BLK,10/10/2025,Financials,Asset Management
FAST,10/13/2025,Industrials,Industrial Distribution
JPM,10/14/2025,Financials,Banks Diversified
C,10/14/2025,Financials,Banks Diversified
JNJ,10/14/2025,Healthcare,Drug Manufacturers - General
SCHW,10/14/2025,Financials,Capital Markets
STT,10/14/2025,Financials,Asset Management
EFX,10/15/2025,Industrials,Consulting Services
CFG,10/15/2025,Financials,Banks Regional
MS,10/15/2025,Financials,Capital Markets
UNH,10/15/2025,Healthcare,Healthcare Plans
CSX,10/15/2025,Industrials,Railroads
STLD,10/15/2025,Basic Materials,Steel
SYF,10/15/2025,Financials,Credit Services
PPG,10/15/2025,Basic Materials,Specialty Chemicals
BAC,10/15/2025,Financials,Banks Diversified
PNC,10/15/2025,Financials,Banks Regional
ASML,10/15/2025,Technology,Semiconductors Equipment and Materials
ELV,10/16/2025,Healthcare,Healthcare Plans
ISRG,10/16/2025,Healthcare,Medical Instruments and Supplies
INFY,10/16/2025,Technology,Information Technology
BK,10/16/2025,Financials,Banks Diversified
USB,10/16/2025,Financials,Banks Regional
TRV,10/16/2025,Financials,Insurance Propery and Casualty
TSM,10/16/2025,Technology,Semiconductors
NFLX,10/16/2025,Communication Services,Entertainment
RF,10/17/2025,Financials,Banks Regional
SLB,10/17/2025,Energy,Oil and Gas Equipment and Services
AXP,10/17/2025,Financials,Credit Services
TFC,10/17/2025,Financials,Banks Regional
HBAN,10/17/2025,Healthcare,Banks Regional
GM,10/21/2025,Consumer Cyclical,Auto Manufacturers
GPC,10/21/2025,Consumer Cyclical,Auto Parts
PM,10/21/2025,Consumer Defensive,Tobacco
VZ,10/21/2025,Communication Services,Telecom Services
GE,10/21/2025,Industrials,Aerospace and Defense
FI,10/21/2025,Technology,Information Technology
DHR,10/21/2025,Healthcare,Diagnostics and Research
PHM,10/21/2025,Consumer Cyclical,Residential Construction
LMT,10/21/2025,Industrials,Aerospace and Defense
FCX,10/21/2025,Basic Materials,Copper
MCO,10/21/2025,Financials,Financial Data and Stock Exchanges
TXN,10/21/2025,Technology,Semiconductors
KO,10/21/2025,Consumer Defensive,Beverages
NSC,10/21/2025,Industrials,Railroads
SCCO,10/21/2025,Basic Materials,Copper
ONB,10/21/2025,Financials,Banks Regional
PCAR,10/21/2025,Industrials,Farm and Heavy Construction Machinery
LUV,10/22/2025,Industrials,Airlines
WAB,10/22/2025,Industrials,Railroads
GEV,10/22/2025,Industrials,Special Industrial Machinery
ORLY,10/22/2025,Consumer Cyclical,Specialty Retail
CCI,10/22/2025,Real Estate,Real Estate
TER,10/22/2025,Technology,Semiconductors Equipment and Materials
LVS,10/22/2025,Consumer Cyclical,Resorts/Casinos/Gambling
NEM,10/22/2025,Basic Materials,Gold Miners
TECK,10/22/2025,Basic Materials,Other Industrial Metals and Mining
SAP,10/22/2025,Technology,Information Technology
ROP,10/22/2025,Technology,Software Application
BA,10/22/2025,Industrials,Aerospace and Defense
TSLA,10/22/2025,Consumer Cyclical,Auto Manufacturers
CME,10/22/2025,Financials,Financial Data and Stock Exchanges
IBM,10/22/2025,Technology,Information Technology
APH,10/22/2025,Technology,Electronic Components
HLT,10/22/2025,Consumer Cyclical,Lodging
