Stock,Earnings Date,Sector,Industry
DRI,09/17/2025,Consumer Cyclical,Restaurants
LEN,09/18/2025,Consumer Cyclical,Residential Construction
FDX,09/18/2025,Industrials,Integrated Freight and Logistics
AZO,09/22/2025,Consumer Cyclical,Specialty Retail
CTAS,09/23/2025,Industrials,Specialty Business Services
MU,09/23/2025,Technology,Semiconductors
KBH,09/24/2025,Consumer Cyclical,Residential Construction
KMX,09/24/2025,Consumer Cyclical,Auto and Truck Dealerships
ACN,09/24/2025,Technology,Information Technology
JBL,09/24/2025,Technology,Electronic Components
UEC,09/24/2025,Energy,Uranium
CCL,09/29/2025,Consumer Cyclical,Travel Services
NKE,09/30/2025,Consumer Cyclical,Footwear and Accesories
DAL,10/09/2025,Industrials,Airlines
PEP,10/09/2025,Consumer Defensive,Beverages
FAST,10/13/2025,Industrials,Industrial Distribution
JPM,10/14/2025,Financials,Banks Diversified
DPZ,10/14/2025,Consumer Cyclical,Restaurants
C,10/14/2025,Financials,Banks Diversified
BLK,10/14/2025,Financials,Asset Management
JNJ,10/14/2025,Healthcare,Drug Manufacturers - General
SYF,10/15/2025,Financials,Credit Services
PPG,10/15/2025,Basic Materials,Specialty Chemicals
EFX,10/15/2025,Industrials,Consulting Services
ASML,10/15/2025,Technology,Semiconductors Equipment and Materials
MS,10/15/2025,Financials,Capital Markets
CSX,10/15/2025,Industrials,Railroads
PNC,10/15/2025,Financials,Banks Regional
PGR,10/15/2025,Financials,Insurance Propery and Casualty
CFG,10/15/2025,Financials,Banks Regional
BAC,10/15/2025,Financials,Banks Diversified
ISRG,10/16/2025,Healthcare,Medical Instruments and Supplies
BK,10/16/2025,Financials,Banks Diversified
TRV,10/16/2025,Financials,Insurance Propery and Casualty
USB,10/16/2025,Financials,Banks Regional
ELV,10/16/2025,Healthcare,Healthcare Plans
SCHW,10/16/2025,Financials,Capital Markets
TSM,10/16/2025,Technology,Semiconductors
INFY,10/16/2025,Technology,Information Technology
SLB,10/17/2025,Energy,Oil and Gas Equipment and Services
AXP,10/17/2025,Financials,Credit Services
STT,10/17/2025,Financials,Asset Management
TFC,10/17/2025,Financials,Banks Regional
RF,10/17/2025,Financials,Banks Regional
HBAN,10/17/2025,Healthcare,Banks Regional
STLD,10/20/2025,Basic Materials,Steel
LMT,10/21/2025,Industrials,Aerospace and Defense
TXN,10/21/2025,Technology,Semiconductors
SCCO,10/21/2025,Basic Materials,Copper
KO,10/21/2025,Consumer Defensive,Beverages
PM,10/21/2025,Consumer Defensive,Tobacco
NSC,10/21/2025,Industrials,Railroads
PCAR,10/21/2025,Industrials,Farm and Heavy Construction Machinery
FCX,10/21/2025,Basic Materials,Copper
GE,10/21/2025,Industrials,Aerospace and Defense
GPC,10/21/2025,Consumer Cyclical,Auto Parts
GM,10/21/2025,Consumer Cyclical,Auto Manufacturers
PHM,10/21/2025,Consumer Cyclical,Residential Construction
DHR,10/21/2025,Healthcare,Diagnostics and Research
FI,10/21/2025,Technology,Information Technology
MCO,10/21/2025,Financials,Financial Data and Stock Exchanges
ONB,10/21/2025,Financials,Banks Regional
VZ,10/21/2025,Communication Services,Telecom Services
NFLX,10/21/2025,Communication Services,Entertainment
TER,10/22/2025,Technology,Semiconductors Equipment and Materials
ORLY,10/22/2025,Consumer Cyclical,Specialty Retail
CCI,10/22/2025,Real Estate,Real Estate
IBM,10/22/2025,Technology,Information Technology
LUV,10/22/2025,Industrials,Airlines
NEM,10/22/2025,Basic Materials,Gold Miners
T,10/22/2025,Communication Services,Telecom Services
CME,10/22/2025,Financials,Financial Data and Stock Exchanges
TSLA,10/22/2025,Consumer Cyclical,Auto Manufacturers
APH,10/22/2025,Technology,Electronic Components
ROP,10/22/2025,Technology,Software Application
WAB,10/22/2025,Industrials,Railroads
TECK,10/22/2025,Basic Materials,Other Industrial Metals and Mining
BA,10/22/2025,Industrials,Aerospace and Defense
BSX,10/22/2025,Healthcare,Medical Devices
HLT,10/22/2025,Consumer Cyclical,Lodging
GEV,10/22/2025,Industrials,Special Industrial Machinery
