Stock,Earnings Date,Sector,Industry
RY,08/26/2025,Financials,Banks Diversified
ANF,08/26/2025,Consumer Cyclical,Apparel Retail
MDB,08/26/2025,Technology,Software Infastructure
CRWD,08/27/2025,Technology,Software Infastructure
NTAP,08/27/2025,Technology,Computer Hardware
NVDA,08/27/2025,Technology,Semiconductors
BURL,08/27/2025,Consumer Cyclical,Apparel Retail
DG,08/27/2025,Consumer Defensive,Discount Stores
A,08/27/2025,Healthcare,Diagnostics and Research
TD,08/27/2025,Financials,Banks Diversified
BBY,08/27/2025,Consumer Cyclical,Specialty Retail
DKS,08/27/2025,Consumer Cyclical,Specialty Retail
M,08/27/2025,Consumer Cyclical,Specialty Retail
SNOW,08/27/2025,Technology,Software Application
AFRM,08/28/2025,Technology,Software Infastructure
DELL,08/28/2025,Technology,Computer Hardware
ADSK,08/28/2025,Technology,Software Application
ULTA,08/28/2025,Consumer Cyclical,Specialty Retail
MRVL,08/28/2025,Technology,Semiconductors
ZS,09/02/2025,Technology,Software Infastructure
AEO,09/03/2025,Consumer Cyclical,Apparel Retail
GTLB,09/03/2025,Technology,Software Infastructure
CRM,09/03/2025,Technology,Software Application
DLTR,09/03/2025,Consumer Defensive,Discount Stores
AVGO,09/03/2025,Technology,Semiconductors
AI,09/03/2025,Technology,Software Application
JKS,09/04/2025,Technology,Solar
LULU,09/04/2025,Consumer Cyclical,Apparel Retail
DOCU,09/04/2025,Technology,Software Application
CASY,09/08/2025,Consumer Cyclical,Specialty Retail
ORCL,09/08/2025,Technology,Software Infastructure
SNPS,09/09/2025,Technology,Software Infastructure
ADBE,09/10/2025,Technology,Software Infastructure
RH,09/11/2025,Consumer Cyclical,Specialty Retail
CPRT,09/11/2025,Industrials,Specialty Business Services
DRI,09/18/2025,Consumer Cyclical,Restaurants
LEN,09/18/2025,Consumer Cyclical,Residential Construction
FDX,09/18/2025,Industrials,Integrated Freight and Logistics
AZO,09/23/2025,Consumer Cyclical,Specialty Retail
KBH,09/23/2025,Consumer Cyclical,Residential Construction
CTAS,09/24/2025,Industrials,Specialty Business Services
KMX,09/24/2025,Consumer Cyclical,Auto and Truck Dealerships
ACN,09/24/2025,Technology,Information Technology
JBL,09/24/2025,Technology,Electronic Components
MU,09/24/2025,Technology,Semiconductors
NKE,09/30/2025,Consumer Cyclical,Footwear and Accesories
PEP,10/09/2025,Consumer Defensive,Beverages
DAL,10/09/2025,Industrials,Airlines
DPZ,10/09/2025,Consumer Cyclical,Restaurants
BLK,10/10/2025,Financials,Asset Management
FAST,10/13/2025,Industrials,Industrial Distribution
C,10/14/2025,Financials,Banks Diversified
JPM,10/14/2025,Financials,Banks Diversified
SCHW,10/14/2025,Financials,Capital Markets
STT,10/14/2025,Financials,Asset Management
JNJ,10/14/2025,Healthcare,Drug Manufacturers - General
BAC,10/15/2025,Financials,Banks Diversified
CFG,10/15/2025,Financials,Banks Regional
MS,10/15/2025,Financials,Capital Markets
PNC,10/15/2025,Financials,Banks Regional
ASML,10/15/2025,Technology,Semiconductors Equipment and Materials
EFX,10/15/2025,Industrials,Consulting Services
PPG,10/15/2025,Basic Materials,Specialty Chemicals
STLD,10/15/2025,Basic Materials,Steel
SYF,10/15/2025,Financials,Credit Services
CSX,10/15/2025,Industrials,Railroads
UNH,10/15/2025,Healthcare,Healthcare Plans
TSM,10/16/2025,Technology,Semiconductors
INFY,10/16/2025,Technology,Information Technology
PG,10/16/2025,Consumer Defensive,Household and Personal Products
ELV,10/16/2025,Healthcare,Healthcare Plans
TRV,10/16/2025,Financials,Insurance Propery and Casualty
NFLX,10/16/2025,Communication Services,Entertainment
BK,10/16/2025,Financials,Banks Diversified
ISRG,10/16/2025,Healthcare,Medical Instruments and Supplies
USB,10/16/2025,Financials,Banks Regional
HBAN,10/17/2025,Healthcare,Banks Regional
SLB,10/17/2025,Energy,Oil and Gas Equipment and Services
RF,10/17/2025,Financials,Banks Regional
AXP,10/17/2025,Financials,Credit Services
TFC,10/17/2025,Financials,Banks Regional
FCX,10/21/2025,Basic Materials,Copper
PM,10/21/2025,Consumer Defensive,Tobacco
ONB,10/21/2025,Financials,Banks Regional
GM,10/21/2025,Consumer Cyclical,Auto Manufacturers
TXN,10/21/2025,Technology,Semiconductors
MCO,10/21/2025,Financials,Financial Data and Stock Exchanges
FI,10/21/2025,Technology,Information Technology
GPC,10/21/2025,Consumer Cyclical,Auto Parts
DHR,10/21/2025,Healthcare,Diagnostics and Research
NSC,10/21/2025,Industrials,Railroads
VZ,10/21/2025,Communication Services,Telecom Services
PHM,10/21/2025,Consumer Cyclical,Residential Construction
LMT,10/21/2025,Industrials,Aerospace and Defense
SCCO,10/21/2025,Basic Materials,Copper
PCAR,10/21/2025,Industrials,Farm and Heavy Construction Machinery
KO,10/21/2025,Consumer Defensive,Beverages
GEV,10/22/2025,Industrials,Special Industrial Machinery
APH,10/22/2025,Technology,Electronic Components
WAB,10/22/2025,Industrials,Railroads
BA,10/22/2025,Industrials,Aerospace and Defense
CCI,10/22/2025,Real Estate,Real Estate
CME,10/22/2025,Financials,Financial Data and Stock Exchanges
SAP,10/22/2025,Technology,Information Technology
