Stock,Earnings Date,Sector,Industry
CLF,07/21/2025,Basic Materials,Steel
NXPI,07/21/2025,Technology,Semiconductors
DHI,07/22/2025,Consumer Cyclical,Residential Construction
HAL,07/22/2025,Energy,Oil and Gas Equipment and Services
SHW,07/22/2025,Basic Materials,Specialty Chemicals
RTX,07/22/2025,Industrials,Aerospace and Defense
CB,07/22/2025,Financials,Insurance Propery and Casualty
COF,07/22/2025,Financials,Credit Services
OTIS,07/23/2025,Industrials,Special Industrial Machinery
NEE,07/23/2025,Utilities,Regulated Electric
BSX,07/23/2025,Healthcare,Medical Devices
URI,07/23/2025,Industrials,Rental and Leasing Services
CMG,07/23/2025,Consumer Cyclical,Restaurants
CCI,07/23/2025,Real Estate,Real Estate
TEL,07/23/2025,Technology,Electronic Components
HLT,07/23/2025,Consumer Cyclical,Lodging
MCO,07/23/2025,Financials,Financial Data and Stock Exchanges
NOC,07/23/2025,Industrials,Aerospace and Defense
ORLY,07/23/2025,Consumer Cyclical,Specialty Retail
NOW,07/23/2025,Technology,Software Application
CME,07/23/2025,Financials,Financial Data and Stock Exchanges
TSLA,07/23/2025,Consumer Cyclical,Auto Manufacturers
APH,07/23/2025,Technology,Electronic Components
GD,07/23/2025,Industrials,Aerospace and Defense
INFY,07/23/2025,Technology,Information Technology
IBM,07/23/2025,Technology,Information Technology
FI,07/23/2025,Technology,Information Technology
LVS,07/23/2025,Consumer Cyclical,Resorts/Casinos/Gambling
FCX,07/23/2025,Basic Materials,Copper
GEV,07/23/2025,Industrials,Special Industrial Machinery
TMUS,07/23/2025,Communication Services,Telecom Services
T,07/23/2025,Communication Services,Telecom Services
GOOGL,07/23/2025,Communication Services,Internet Content and Information
GOOG,07/23/2025,Communication Services,Internet Content and Information
TMO,07/23/2025,Healthcare,Diagnostics and Research
CSX,07/23/2025,Industrials,Railroads
CNX,07/24/2025,Energy,Oil and Gas E&P
DECK,07/24/2025,Consumer Cyclical,Footwear and Accesories
DLR,07/24/2025,Real Estate,Real Estate
WAB,07/24/2025,Industrials,Railroads
VLO,07/24/2025,Energy,Oil and Gas Refining and Marketing
TSCO,07/24/2025,Consumer Cyclical,Specialty Retail
UNP,07/24/2025,Industrials,Railroads
INTC,07/24/2025,Technology,Semiconductors
CNP,07/24/2025,Utilities,Regulated Electric
LKQ,07/24/2025,Consumer Cyclical,Auto Parts
BX,07/24/2025,Financials,Unknown
TECK,07/24/2025,Basic Materials,Other Industrial Metals and Mining
DOW,07/24/2025,Basic Materials,Chemicals
FLEX,07/24/2025,Technology,Electronic Components
EW,07/24/2025,Healthcare,Medical Devices
HON,07/24/2025,Industrials,Conglomerates
NEM,07/24/2025,Basic Materials,Gold Miners
LUV,07/24/2025,Industrials,Airlines
AON,07/25/2025,Financials,Insurance Brokers
PSX,07/25/2025,Energy,Oil and Gas Refining and Marketing
CDNS,07/28/2025,Technology,Software Application
LYV,07/28/2025,Communication Services,Entertainment
WM,07/28/2025,Industrials,Waste Management
NUE,07/28/2025,Basic Materials,Steel
WELL,07/28/2025,Real Estate,Real Estate
WHR,07/28/2025,Consumer Cyclical,Furnishings/Fixtures/Appliances
SCCO,07/28/2025,Basic Materials,Copper
BRO,07/28/2025,Financials,Insurance Brokers
SBUX,07/29/2025,Consumer Cyclical,Restaurants
JCI,07/29/2025,Industrials,Building Products and Equipment
AMT,07/29/2025,Real Estate,Real Estate
QRVO,07/29/2025,Technology,Semiconductors
SPOT,07/29/2025,Communication Services,Internet Content and Information
MARA,07/29/2025,Financials,Capital Markets
RCL,07/29/2025,Consumer Cyclical,Travel Services
CARR,07/29/2025,Industrials,Building Products and Equipment
PYPL,07/29/2025,Financials,Credit Services
GT,07/29/2025,Consumer Cyclical,Auto Parts
BA,07/29/2025,Industrials,Aerospace and Defense
TER,07/29/2025,Technology,Semiconductors Equipment and Materials
ECL,07/29/2025,Basic Materials,Specialty Chemicals
GLW,07/29/2025,Technology,Electronic Components
PG,07/29/2025,Consumer Defensive,Household and Personal Products
UNH,07/29/2025,Healthcare,Healthcare Plans
SOFI,07/29/2025,Financials,Credit Services
CSTM,07/29/2025,Basic Materials,Unknown
V,07/29/2025,Financials,Credit Services
RSG,07/29/2025,Industrials,Waste Management
BKNG,07/29/2025,Consumer Cyclical,Travel Services
AFL,07/29/2025,Financials,Insurance Life
NSC,07/29/2025,Industrials,Railroads
CWH,07/29/2025,Consumer Cyclical,Auto and Truck Dealerships
