Stock,Earnings Date,Sector,Industry
SCCO,07/28/2025,Basic Materials,Copper
BRO,07/28/2025,Financials,Insurance Brokers
CDNS,07/28/2025,Technology,Software Application
WHR,07/28/2025,Consumer Cyclical,Furnishings/Fixtures/Appliances
NUE,07/28/2025,Basic Materials,Steel
WELL,07/28/2025,Real Estate,Real Estate
WM,07/28/2025,Industrials,Waste Management
AMT,07/29/2025,Real Estate,Real Estate
CSTM,07/29/2025,Basic Materials,Unknown
ECL,07/29/2025,Basic Materials,Specialty Chemicals
BA,07/29/2025,Industrials,Aerospace and Defense
UNH,07/29/2025,Healthcare,Healthcare Plans
TER,07/29/2025,Technology,Semiconductors Equipment and Materials
PPG,07/29/2025,Basic Materials,Specialty Chemicals
PYPL,07/29/2025,Financials,Credit Services
SBUX,07/29/2025,Consumer Cyclical,Restaurants
SOFI,07/29/2025,Financials,Credit Services
RCL,07/29/2025,Consumer Cyclical,Travel Services
BKNG,07/29/2025,Consumer Cyclical,Travel Services
V,07/29/2025,Financials,Credit Services
JCI,07/29/2025,Industrials,Building Products and Equipment
QRVO,07/29/2025,Technology,Semiconductors
NSC,07/29/2025,Industrials,Railroads
RSG,07/29/2025,Industrials,Waste Management
PG,07/29/2025,Consumer Defensive,Household and Personal Products
GLW,07/29/2025,Technology,Electronic Components
CZR,07/29/2025,Consumer Cyclical,Resorts/Casinos/Gambling
AFL,07/29/2025,Financials,Insurance Life
UPS,07/29/2025,Industrials,Integrated Freight and Logistics
SPOT,07/29/2025,Communication Services,Internet Content and Information
MARA,07/29/2025,Financials,Capital Markets
CARR,07/29/2025,Industrials,Building Products and Equipment
MRK,07/29/2025,Healthcare,Drug Manufacturers - General
GT,07/30/2025,Consumer Cyclical,Auto Parts
LRCX,07/30/2025,Technology,Semiconductors Equipment and Materials
F,07/30/2025,Consumer Cyclical,Auto Manufacturers
QCOM,07/30/2025,Technology,Semiconductors
PSA,07/30/2025,Financials,Real Estate
PRU,07/30/2025,Financials,Insurance Life
MGM,07/30/2025,Consumer Cyclical,Resorts/Casinos/Gambling
CWH,07/30/2025,Consumer Cyclical,Auto and Truck Dealerships
ENTG,07/30/2025,Technology,Semiconductors Equipment and Materials
ETSY,07/30/2025,Consumer Cyclical,Internet Retail
CVNA,07/30/2025,Consumer Cyclical,Auto and Truck Dealerships
CHRW,07/30/2025,Industrials,Integrated Freight and Logistics
HOOD,07/30/2025,Financials,Capital Markets
EBAY,07/30/2025,Consumer Cyclical,Internet Retail
AER,07/30/2025,Industrials,Rental and Leasing Services
HES,07/30/2025,Energy,Oil and Gas E&P
ARM,07/30/2025,Technology,Semiconductors
DXCM,07/30/2025,Healthcare,Medical Devices
META,07/30/2025,Communication Services,Internet Content and Information
TT,07/30/2025,Industrials,Building Products and Equipment
MO,07/30/2025,Consumer Defensive,Tobacco
HSY,07/30/2025,Consumer Defensive,Confectioners
FE,07/30/2025,Utilities,Regulated Electric
AEM,07/30/2025,Basic Materials,Gold Miners
ALL,07/30/2025,Financials,Insurance Propery and Casualty
AGI,07/30/2025,Basic Materials,Gold Miners
ALB,07/30/2025,Basic Materials,Specialty Chemicals
HUM,07/30/2025,Healthcare,Healthcare Plans
EXR,07/30/2025,Real Estate,Real Estate
VRSK,07/30/2025,Industrials,Consulting Services
WING,07/30/2025,Consumer Cyclical,Restaurants
MSFT,07/30/2025,Technology,Software Infastructure
AWK,07/30/2025,Utilities,Regulated Water
ITW,07/30/2025,Industrials,Special Industrial Machinery
AEP,07/30/2025,Utilities,Regulated Electric
ADP,07/30/2025,Technology,Software Application
FSLR,07/31/2025,Technology,Solar
IR,07/31/2025,Industrials,Special Industrial Machinery
COIN,07/31/2025,Financials,Financial Data and Stock Exchanges
AAPL,07/31/2025,Technology,Consumer Electronics
SHAK,07/31/2025,Consumer Cyclical,Restaurants
ICE,07/31/2025,Financials,Financial Data and Stock Exchanges
KLAC,07/31/2025,Technology,Semiconductors Equipment and Materials
PWR,07/31/2025,Industrials,Engineering and Construction
GWW,07/31/2025,Industrials,Industrial Distribution
NCLH,07/31/2025,Consumer Cyclical,Travel Services
KKR,07/31/2025,Financials,Asset Management
CMCSA,07/31/2025,Communication Services,Telecom Services
MA,07/31/2025,Financials,Credit Services
AES,07/31/2025,Utilities,Diversified
SPGI,07/31/2025,Financials,Financial Data and Stock Exchanges
HUN,07/31/2025,Basic Materials,Chemicals
MPWR,07/31/2025,Technology,Semiconductors
SYK,07/31/2025,Healthcare,Medical Devices
RMD,07/31/2025,Healthcare,Medical Instruments and Supplies
EXC,07/31/2025,Utilities,Regulated Electric
APD,07/31/2025,Basic Materials,Specialty Chemicals
ABBV,07/31/2025,Healthcare,Drug Manufacturers - General
BMY,07/31/2025,Healthcare,Drug Manufacturers - General
ROKU,07/31/2025,Communication Services,Entertainment
RBLX,07/31/2025,Communication Services,Electronic Gaming and Multimedia
PPL,07/31/2025,Utilities,Regulated Electric
SO,07/31/2025,Utilities,Regulated Electric
CI,07/31/2025,Healthcare,Healthcare Plans
AEE,07/31/2025,Utilities,Regulated Electric
VMC,07/31/2025,Basic Materials,Building Materials
XEL,07/31/2025,Utilities,Regulated Electric
BWA,07/31/2025,Consumer Cyclical,Auto Parts
AMZN,07/31/2025,Consumer Cyclical,Internet Retail
BLDR,07/31/2025,Industrials,Building Products and Equipment
FND,07/31/2025,Consumer Cyclical,Home Improvement Retail
NET,07/31/2025,Technology,Software Infastructure
MSTR,07/31/2025,Technology,Software Application
CVS,07/31/2025,Consumer Cyclical,Healthcare Plans
BOOT,07/31/2025,Consumer Cyclical,Apparel Retail
LYB,08/01/2025,Basic Materials,Specialty Chemicals
LIN,08/01/2025,Basic Materials,Specialty Chemicals
XOM,08/01/2025,Energy,Oil and Gas Intergrated
MRNA,08/01/2025,Healthcare,Biotechnology
D,08/01/2025,Utilities,Regulated Electric
CVX,08/01/2025,Energy,Oil and Gas Intergrated
CL,08/01/2025,Consumer Defensive,Household and Personal Products
LSCC,08/04/2025,Technology,Semiconductors
WMB,08/04/2025,Energy,Oil and Gas Midstream
ON,08/04/2025,Technology,Semiconductors
FANG,08/04/2025,Energy,Oil and Gas E&P
HIMS,08/04/2025,Consumer Defensive,Household and Personal Products
MELI,08/04/2025,Consumer Cyclical,Internet Retail
OKE,08/04/2025,Energy,Oil and Gas Midstream
ALSN,08/04/2025,Consumer Cyclical,Auto Parts
CELH,08/04/2025,Consumer Defensive,Beverages
VRTX,08/04/2025,Healthcare,Biotechnology
SPG,08/04/2025,Real Estate,Real Estate
W,08/04/2025,Consumer Cyclical,Internet Retail
PLTR,08/04/2025,Technology,Software Infastructure
PGR,08/04/2025,Financials,Insurance Propery and Casualty
J,08/05/2025,Industrials,Engineering and Construction
AZEK,08/05/2025,Industrials,Building Products and Equipment
UPST,08/05/2025,Financials,Credit Services
EXPD,08/05/2025,Industrials,Integrated Freight and Logistics
ARMK,08/05/2025,Industrials,Specialty Business Services
CAT,08/05/2025,Industrials,Farm and Heavy Construction Machinery
PFE,08/05/2025,Healthcare,Drug Manufacturers - General
CRSP,08/05/2025,Healthcare,Biotechnology
ZTS,08/05/2025,Healthcare,Drug Manufacturers - Specialty and Generic
AMGN,08/05/2025,Healthcare,Drug Manufacturers - General
ETN,08/05/2025,Industrials,Special Industrial Machinery
RIVN,08/05/2025,Consumer Cyclical,Auto Manufacturers
SMCI,08/05/2025,Technology,Computer Hardware
