Stock,Earnings Date,Sector,Industry
BABA,08/13/2025,Consumer Cyclical,Internet Retail
DE,08/13/2025,Industrials,Farm and Heavy Construction Machinery
BIRK,08/13/2025,Consumer Cyclical,Footwear and Accesories
AMAT,08/14/2025,Technology,Semiconductors Equipment and Materials
PANW,08/18/2025,Technology,Software Infastructure
HD,08/18/2025,Consumer Cyclical,Home Improvement Retail
MDT,08/18/2025,Healthcare,Medical Devices
LOW,08/19/2025,Consumer Cyclical,Home Improvement Retail
EL,08/19/2025,Consumer Defensive,Household and Personal Products
TJX,08/19/2025,Consumer Cyclical,Apparel Retail
TOL,08/19/2025,Consumer Cyclical,Residential Construction
ADI,08/19/2025,Technology,Semiconductors
TGT,08/19/2025,Consumer Defensive,Discount Stores
ZIM,08/19/2025,Industrials,Marine Shipping
CSIQ,08/20/2025,Technology,Solar
WMT,08/20/2025,Consumer Defensive,Discount Stores
ROST,08/21/2025,Consumer Cyclical,Apparel Retail
INTU,08/21/2025,Technology,Software Application
ZM,08/21/2025,Technology,Software Application
WDAY,08/21/2025,Technology,Software Application
ANF,08/26/2025,Consumer Cyclical,Apparel Retail
RY,08/26/2025,Financials,Banks Diversified
MDB,08/26/2025,Technology,Software Infastructure
A,08/27/2025,Healthcare,Diagnostics and Research
NVDA,08/27/2025,Technology,Semiconductors
BURL,08/27/2025,Consumer Cyclical,Apparel Retail
SNOW,08/27/2025,Technology,Software Application
AEO,08/27/2025,Consumer Cyclical,Apparel Retail
DG,08/27/2025,Consumer Defensive,Discount Stores
TD,08/27/2025,Financials,Banks Diversified
BBY,08/27/2025,Consumer Cyclical,Specialty Retail
CRWD,08/27/2025,Technology,Software Infastructure
DKS,08/27/2025,Consumer Cyclical,Specialty Retail
M,08/27/2025,Consumer Cyclical,Specialty Retail
NTAP,08/27/2025,Technology,Computer Hardware
AFRM,08/28/2025,Technology,Software Infastructure
MRVL,08/28/2025,Technology,Semiconductors
ULTA,08/28/2025,Consumer Cyclical,Specialty Retail
DELL,08/28/2025,Technology,Computer Hardware
ADSK,08/28/2025,Technology,Software Application
CASY,09/02/2025,Consumer Cyclical,Specialty Retail
ZS,09/02/2025,Technology,Software Infastructure
AI,09/03/2025,Technology,Software Application
CRM,09/03/2025,Technology,Software Application
AVGO,09/03/2025,Technology,Semiconductors
GTLB,09/03/2025,Technology,Software Infastructure
DLTR,09/03/2025,Consumer Defensive,Discount Stores
JKS,09/04/2025,Technology,Solar
LULU,09/04/2025,Consumer Cyclical,Apparel Retail
DOCU,09/04/2025,Technology,Software Application
ORCL,09/08/2025,Technology,Software Infastructure
SNPS,09/09/2025,Technology,Software Infastructure
ADBE,09/10/2025,Technology,Software Infastructure
RH,09/11/2025,Consumer Cyclical,Specialty Retail
CPRT,09/11/2025,Industrials,Specialty Business Services
FDX,09/18/2025,Industrials,Integrated Freight and Logistics
LEN,09/18/2025,Consumer Cyclical,Residential Construction
AZO,09/23/2025,Consumer Cyclical,Specialty Retail
KBH,09/23/2025,Consumer Cyclical,Residential Construction
ACN,09/24/2025,Technology,Information Technology
KMX,09/24/2025,Consumer Cyclical,Auto and Truck Dealerships
JBL,09/24/2025,Technology,Electronic Components
MU,09/24/2025,Technology,Semiconductors
